iter	Passed	Remaining
0	1	168
1	3	170
2	5	165
3	6	155
4	8	158
5	9	156
6	11	154
7	13	152
8	15	152
9	16	150
10	18	149
11	20	150
12	22	147
13	23	145
14	25	143
15	26	141
16	28	139
17	30	136
18	31	134
19	33	132
20	34	130
21	36	128
22	37	126
23	39	124
24	40	122
25	42	120
26	44	119
27	45	117
28	47	116
29	49	114
30	50	112
31	52	111
32	53	109
33	55	107
34	57	106
35	59	105
36	60	103
37	62	101
38	64	100
39	65	98
40	67	96
41	68	94
42	69	92
43	71	90
44	72	89
45	74	87
46	76	86
47	77	84
48	79	82
49	81	81
50	82	79
51	84	77
52	86	76
53	87	74
54	88	72
55	90	70
56	91	69
57	93	67
58	95	66
59	96	64
60	98	62
61	100	61
62	101	59
63	103	58
64	105	56
65	106	54
66	108	53
67	110	51
68	111	50
69	113	48
70	114	46
71	116	45
72	118	43
73	120	42
74	121	40
75	123	39
76	125	37
77	126	35
78	128	34
79	130	32
80	132	30
81	133	29
82	135	27
83	136	26
84	138	24
85	140	22
86	141	21
87	143	19
88	145	17
89	146	16
90	148	14
91	150	13
92	151	11
93	153	9
94	154	8
95	156	6
96	157	4
97	159	3
98	160	1
99	161	0
