iter	Passed	Remaining
0	63	62957
1	64	32006
2	65	21673
3	66	16468
4	66	13330
5	67	11228
6	68	9738
7	69	8614
8	70	7755
9	71	7056
10	72	6487
11	72	6002
12	73	5594
13	74	5236
14	75	4929
15	76	4676
16	76	4441
17	77	4229
18	78	4039
19	78	3863
20	79	3707
21	80	3566
22	81	3451
23	82	3334
24	82	3226
25	83	3136
26	84	3038
27	84	2950
28	85	2870
29	86	2804
30	87	2734
31	88	2667
32	88	2604
33	89	2545
34	90	2492
35	91	2441
36	91	2393
37	92	2349
38	93	2303
39	94	2259
40	94	2217
41	95	2177
42	96	2139
43	97	2109
44	98	2080
45	98	2049
46	99	2019
47	100	1989
48	100	1960
49	101	1931
50	102	1905
51	103	1886
52	104	1866
53	105	1843
54	105	1820
55	106	1800
56	107	1781
57	108	1762
58	109	1742
59	109	1722
60	110	1703
61	111	1685
62	112	1666
63	112	1651
64	113	1638
65	114	1622
66	115	1607
67	116	1590
68	116	1578
69	117	1564
70	118	1549
71	119	1536
72	119	1522
73	120	1510
74	121	1497
75	122	1484
76	122	1472
77	123	1460
78	124	1449
79	125	1441
80	126	1432
81	126	1421
82	127	1407
83	128	1396
84	128	1385
85	129	1375
86	130	1366
87	131	1362
88	132	1358
89	133	1349
90	134	1339
91	135	1332
92	135	1323
93	136	1315
94	137	1307
95	137	1299
96	138	1292
97	139	1283
98	140	1275
99	140	1267
100	141	1260
101	142	1253
102	143	1246
103	143	1239
104	144	1232
105	145	1224
106	145	1217
107	146	1212
108	147	1206
109	148	1200
110	149	1193
111	149	1188
112	150	1182
113	151	1178
114	152	1172
115	153	1166
116	153	1159
117	154	1154
118	155	1149
119	155	1143
120	156	1137
121	157	1132
122	158	1128
123	159	1124
124	159	1119
125	160	1114
126	161	1107
127	161	1102
128	162	1097
129	163	1093
130	164	1088
131	165	1085
132	165	1080
133	166	1075
134	167	1070
135	167	1066
136	168	1062
137	169	1057
138	170	1054
139	170	1049
140	171	1045
141	172	1040
142	173	1037
143	173	1033
144	174	1030
145	175	1026
146	176	1022
147	176	1017
148	177	1013
149	178	1009
150	179	1006
151	179	1003
152	180	999
153	181	996
154	182	992
155	182	988
156	183	984
157	184	981
158	184	977
159	185	974
160	186	970
161	187	967
162	188	965
163	188	962
164	189	959
165	190	956
166	191	954
167	192	951
168	192	947
169	193	944
170	194	941
171	194	937
172	195	934
173	196	932
174	197	929
175	197	926
176	198	923
177	199	920
178	200	917
179	200	914
180	201	912
181	202	909
182	202	906
183	203	903
184	204	900
185	205	898
186	205	895
187	206	892
188	207	890
189	208	887
190	208	884
191	209	881
192	210	878
193	210	875
194	211	872
195	212	870
196	212	867
197	213	865
198	214	863
199	215	860
200	215	857
201	216	854
202	216	851
203	217	849
204	218	846
205	219	844
206	219	842
207	220	839
208	221	837
209	221	834
210	222	831
211	223	829
212	223	827
213	224	825
214	225	822
215	225	819
216	226	817
217	227	815
218	227	812
219	228	810
220	229	807
221	229	805
222	230	803
223	231	800
224	231	798
225	232	796
226	233	793
227	233	791
228	234	789
229	235	787
230	235	785
231	236	783
232	237	781
233	238	779
234	238	777
235	239	775
236	240	773
237	240	771
238	241	769
239	242	767
240	243	765
241	243	763
242	244	761
243	245	759
244	245	757
245	246	755
246	247	754
247	248	752
248	248	750
249	249	748
250	250	746
251	250	744
252	251	743
253	252	741
254	253	739
255	253	737
256	254	735
257	255	733
258	255	732
259	256	730
260	257	729
261	258	727
262	259	726
263	259	724
264	260	722
265	261	720
266	261	718
267	262	716
268	263	715
269	263	713
270	264	711
271	265	710
272	266	708
273	266	706
274	267	705
275	268	704
276	269	702
277	269	700
278	270	699
279	271	698
280	272	696
281	272	694
282	273	693
283	274	691
284	275	690
285	275	688
286	276	687
287	277	685
288	278	684
289	278	682
290	279	681
291	280	679
292	281	678
293	281	676
294	282	674
295	283	673
296	283	672
297	284	670
298	285	669
299	286	668
300	287	666
301	287	664
302	288	663
303	289	662
304	290	660
305	290	659
306	292	659
307	292	658
308	293	656
309	294	654
310	295	653
311	295	652
312	296	650
313	297	649
314	298	648
315	298	646
316	299	645
317	300	644
318	301	642
319	301	641
320	302	640
321	303	638
322	304	637
323	304	635
324	305	634
325	306	633
326	307	631
327	307	630
328	308	629
329	309	627
330	309	626
331	310	624
332	311	623
333	312	622
334	313	621
335	313	620
336	314	618
337	315	617
338	315	616
339	316	614
340	317	613
341	318	612
342	319	611
343	319	609
344	320	608
345	321	607
346	321	605
347	322	604
348	323	603
349	324	602
350	325	601
351	326	600
352	326	599
353	327	598
354	331	602
355	332	601
356	333	600
357	334	599
358	334	598
359	335	597
360	336	595
361	337	594
362	338	593
363	338	592
364	339	590
365	340	589
366	341	589
367	342	587
368	343	586
369	343	585
370	344	584
371	345	583
372	346	582
373	347	581
374	347	579
375	348	578
376	349	577
377	350	576
378	351	575
379	351	574
380	352	573
381	353	571
382	354	570
383	354	569
384	355	568
385	356	567
386	357	565
387	358	564
388	358	563
389	359	562
390	360	561
391	361	560
392	362	559
393	363	558
394	364	557
395	364	556
396	365	555
397	366	554
398	367	553
399	368	552
400	368	551
401	369	549
402	370	548
403	371	547
404	371	546
405	372	545
406	373	543
407	373	542
408	374	541
409	375	540
410	376	538
411	376	537
412	377	536
413	378	535
414	379	534
415	379	533
416	380	532
417	381	530
418	382	529
419	382	528
420	383	527
421	384	526
422	385	525
423	385	524
424	386	522
425	387	521
426	387	520
427	388	519
428	389	518
429	390	517
430	390	515
431	391	514
432	392	513
433	392	512
434	393	511
435	394	510
436	395	509
437	395	507
438	396	506
439	397	505
440	397	504
441	398	503
442	399	502
443	400	501
444	401	500
445	401	499
446	402	497
447	403	496
448	403	495
449	404	494
450	405	493
451	406	492
452	407	491
453	407	490
454	408	489
455	409	488
456	409	486
457	410	485
458	411	484
459	412	483
460	412	482
461	413	481
462	414	480
463	414	479
464	415	477
465	416	476
466	416	475
467	417	474
468	418	473
469	419	472
470	420	471
471	420	470
472	421	469
473	422	468
474	422	467
475	423	466
476	424	465
477	425	464
478	425	463
479	426	462
480	427	461
481	428	460
482	429	459
483	430	458
484	431	457
485	431	456
486	432	455
487	433	454
488	434	453
489	434	452
490	435	451
491	436	450
492	437	449
493	437	448
494	438	447
495	439	446
496	440	445
497	440	444
498	441	443
499	442	442
500	442	441
501	443	440
502	444	439
503	445	438
504	446	437
505	446	436
506	447	435
507	448	434
508	449	433
509	449	432
510	450	431
511	451	430
512	452	429
513	452	428
514	453	427
515	454	426
516	455	425
517	456	424
518	456	423
519	457	422
520	458	421
521	459	420
522	459	419
523	460	418
524	461	417
525	462	416
526	463	415
527	463	414
528	464	413
529	465	412
530	465	411
531	467	410
532	467	410
533	468	408
534	469	408
535	470	406
536	470	405
537	471	404
538	472	404
539	473	403
540	474	402
541	474	401
542	475	400
543	476	399
544	477	398
545	477	397
546	478	396
547	479	395
548	480	394
549	480	393
550	481	392
551	481	391
552	482	390
553	483	389
554	484	388
555	484	387
556	485	386
557	486	385
558	487	384
559	487	383
560	488	382
561	489	381
562	489	380
563	490	379
564	491	378
565	491	377
566	492	376
567	493	375
568	493	374
569	494	373
570	495	372
571	496	371
572	497	370
573	497	369
574	498	368
575	499	367
576	499	366
577	500	365
578	501	364
579	502	363
580	502	362
581	503	361
582	503	360
583	504	359
584	505	358
585	506	357
586	506	356
587	507	355
588	508	354
589	508	353
590	509	352
591	510	351
592	511	350
593	511	349
594	512	348
595	513	347
596	513	346
597	514	345
598	515	345
599	516	344
600	516	343
601	517	342
602	518	341
603	519	340
604	519	339
605	520	338
606	521	337
607	521	336
608	522	335
609	523	334
610	524	333
611	524	332
612	525	331
613	525	330
614	526	329
615	527	328
616	528	328
617	529	327
618	529	326
619	530	325
620	531	324
621	531	323
622	532	322
623	533	321
624	534	320
625	534	319
626	535	318
627	536	317
628	536	316
629	537	315
630	538	314
631	538	313
632	539	312
633	540	311
634	540	310
635	541	309
636	542	308
637	542	307
638	543	307
639	544	306
640	544	305
641	545	304
642	546	303
643	546	302
644	547	301
645	548	300
646	548	299
647	549	298
648	550	297
649	550	296
650	551	295
651	552	294
652	552	293
653	553	292
654	554	291
655	554	290
656	555	290
657	556	289
658	556	288
659	557	287
660	558	286
661	558	285
662	559	284
663	560	283
664	560	282
665	561	281
666	562	280
667	562	279
668	563	278
669	564	277
670	564	276
671	565	276
672	566	275
673	567	274
674	567	273
675	568	272
676	568	271
677	569	270
678	570	269
679	570	268
680	571	267
681	572	266
682	573	266
683	574	265
684	574	264
685	575	263
686	576	262
687	577	261
688	578	260
689	578	260
690	579	259
691	580	258
692	580	257
693	581	256
694	582	255
695	583	254
696	584	253
697	584	252
698	585	252
699	586	251
700	586	250
701	587	249
702	589	248
703	590	248
704	590	247
705	601	250
706	602	249
707	603	248
708	604	248
709	605	247
710	606	246
711	607	245
712	607	244
713	608	243
714	609	242
715	610	241
716	610	241
717	611	240
718	612	239
719	612	238
720	613	237
721	614	236
722	615	235
723	615	234
724	616	233
725	617	233
726	618	232
727	619	231
728	619	230
729	620	229
730	621	228
731	622	227
732	622	226
733	623	225
734	623	224
735	624	224
736	625	223
737	626	222
738	627	221
739	628	220
740	628	219
741	629	218
742	630	218
743	631	217
744	632	216
745	632	215
746	633	214
747	634	213
748	635	212
749	635	211
750	636	211
751	637	210
752	638	209
753	638	208
754	639	207
755	640	206
756	640	205
757	641	204
758	642	203
759	642	203
760	643	202
761	644	201
762	644	200
763	645	199
764	646	198
765	647	197
766	648	196
767	648	196
768	649	195
769	650	194
770	651	193
771	651	192
772	652	191
773	653	190
774	654	189
775	654	188
776	655	188
777	655	187
778	656	186
779	657	185
780	657	184
781	658	183
782	659	182
783	660	181
784	660	181
785	661	180
786	662	179
787	662	178
788	663	177
789	664	176
790	665	175
791	666	174
792	666	174
793	667	173
794	668	172
795	668	171
796	669	170
